87570	20375
96678	20375
82693	20375
96135	20375
85066	20375
84090	40589
94231	40589
94480	40589
95792	40589
97325	40589
83153	746
83947	746
84544	746
93531	746
95310	746
83767	46769
87818	46769
90402	46769
95905	46769
97413	46769
89573	53
90743	53
90920	53
94466	53
98080	53
100168	11365
90197	11365
87043	11365
95792	11365
99945	11365
82927	11365
84798	11365
85927	11365
90197	11365
91527	11365
88783	11365
83035	11365
95142	11365
97100	11365
97446	11365
83047	29052
99659	29052
87185	29052
97493	29052
98815	29052
82652	29012
84741	29012
85173	29012
97067	29012
91624	29012
84440	118
91677	118
87347	118
95905	118
92969	118
83034	11365
84927	11365
91442	11365
92458	11365
97050	11365
83036	10529
90091	10529
98783	10529
93124	10529
94283	10529
87312	29012
91578	29012
90956	29012
87700	29012
94224	29012
82541	40589
84673	40589
85089	40589
88423	40589
84211	40589
85487	26776
90197	26776
90569	26776
96241	26776
99852	26776
83470	14341
86524	14341
88531	14341
93001	14341
93945	14341
97305	46780
85966	46780
87241	46780
84896	46780
82779	46780
83858	452
93860	452
86177	452
94191	452
96028	452
84508	22733
84951	22733
86351	22733
90669	22733
94818	22733
83052	11365
83858	11365
85008	11365
87917	11365
94655	11365
84927	39058
88845	39058
91506	39058
92458	39058
94336	39058
99113	30537
84544	30537
92344	30537
94374	30537
96783	30537
87833	46795
88436	46795
91844	46795
97063	46795
99787	46795
85376	4453
86940	4453
87080	4453
96145	4453
99787	4453
98179	38135
88299	38135
99281	38135
99444	38135
97184	38135
90197	38135
95538	38135
96815	38135
92709	38135
99184	38135
83034	12915
94530	12915
94103	12915
97408	12915
99265	12915
83922	36320
83947	36320
85400	36320
91741	36320
97027	36320
83034	4453
85265	4453
86458	4453
94560	4453
96101	4453
85570	44559
88436	44559
93170	44559
95845	44559
89070	44559
83830	43544
90500	43544
95905	43544
94126	43544
85892	43544
84033	27178
84898	27178
85008	27178
89794	27178
99625	27178
88001	46806
88548	46806
86263	46806
95087	46806
96889	46806
86311	958
89835	958
91165	958
99987	958
100059	958
85008	46811
89507	46811
84501	46811
90935	46811
97586	46811
85008	22733
84501	22733
93832	22733
97586	22733
91148	22733
97343	22733
86594	22733
85080	22733
94923	22733
95908	22733
83545	22733
83858	22733
87290	22733
88998	22733
100168	22733
94464	38135
87520	38135
90834	38135
100053	38135
100199	38135
82883	22733
84914	22733
85484	22733
89944	22733
97210	22733
85095	36258
87376	36258
90090	36258
